Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
The Last Sharknado: It's About Time,1,"Drama,Movie/Mini-Series,Science Fiction",SyFy,19/08/2018,22,5,2.7,20
The Kennedys - After Camelot,1,"Drama,Movie/Mini-Series",ReelzChannel,26/12/2018,23,6,1.9,7
The Jinx: The Life and Deaths of Robert Durst,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,08/02/2015,76,21,8.2,47
The Inventor: Out for Blood in Silicon Valley,1,"Movie/Mini-Series,News/Documentary,Health & Lifestyle,Business,Documentary,Science",HBO,18/03/2019,69,13,7.2,14
The Immortal Life of Henrietta Lacks,1,"Drama,Movie/Mini-Series",HBO,22/04/2017,64,22,5.1,14
The Hot Zone,1,"Drama,Movie/Mini-Series,Science",National Geographic,27/05/2019,69,12,6.7,20
The Girl,1,"Drama,Movie/Mini-Series",HBO,20/10/2012,66,21,7.3,4
The Game (2014),1,"Drama,Movie/Mini-Series,Action & Adventure",BBC America,05/11/2014,78,9,7.6,29
The Flag,1,"Movie/Mini-Series,Documentary",CNN,04/09/2013,88,4,not available, 4 Critic Reviews
The Family (2019),1,"Movie/Mini-Series,Documentary",Netflix,09/08/2019,63,5,5,7
The English Game,1,"Drama,Movie/Mini-Series",Netflix,20/03/2020,62,4,7,5
The Dresser (2016),1,"Drama,Movie/Mini-Series",Starz,30/05/2016,84,14,6.7,19
The Dovekeepers,1,"Drama,Movie/Mini-Series",CBS,31/03/2015,46,13,4.3,8
The Defiant Ones (2017),1,"Movie/Mini-Series,Documentary,Music",HBO,09/07/2017,76,12,7.8,18
The Curious Case of Curt Flood,1,"Sports,Movie/Mini-Series,News/Documentary",HBO,13/07/2011,84,4,not available, 4 Critic Reviews
The Crimson Petal and The White,1,"Drama,Movie/Mini-Series",BBC-2,06/04/2011,65,11,8.5,4
The Corner,1,"Drama,Movie/Mini-Series",HBO,16/04/2000,90,21,8.1,15
The Windermere Children,1,"Drama,Movie/Mini-Series",PBS,05/04/2020,88,5,not available, 5 Critic Reviews
The Watsons Go to Birmingham,1,"Drama,Movie/Mini-Series,Kids,Educational",Hallmark Channel,20/09/2013,59,4,not available, 4 Critic Reviews
The Vietnam War,1,"Movie/Mini-Series,News/Documentary,Documentary",PBS,17/09/2017,90,19,8.3,55
The Unauthorized Saved By The Bell Story,1,"Drama,Movie/Mini-Series",LIFETIME,01/09/2014,33,4,not available, 4 Critic Reviews
The Truth About Killer Robots,1,"Movie/Mini-Series,Documentary",HBO,26/11/2018,62,4,3.2,6
The Trip to Bountiful,1,"Drama,Movie/Mini-Series",LIFETIME,08/03/2014,86,12,7.4,7
The Trials of Gabriel Fernandez,1,"Movie/Mini-Series,Documentary",Netflix,26/02/2020,75,5,not available, 5 Critic Reviews
The Take,1,"Drama,Movie/Mini-Series",Encore,17/06/2009,80,5,7.1,11
The State (2017),1,"Drama,Movie/Mini-Series",National Geographic,18/09/2017,63,4,5,9
The Staircase [2018 Version],1,"Movie/Mini-Series,News/Documentary,Documentary",Netflix,08/06/2018,92,8,7.6,58
The Spymasters - CIA in the Crosshairs,1,"Movie/Mini-Series,News/Documentary,Documentary",SHOWTIME,28/11/2015,65,5,7.6,5
The Spy,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",Netflix,06/09/2019,68,16,6.1,29
The Spoils of Babylon,1,"Comedy,Movie/Mini-Series",IFC,09/01/2014,69,26,6.5,24
The Spoils Before Dying,1,"Comedy,Movie/Mini-Series",IFC,08/07/2015,65,15,4.5,10
The Slap (2015),1,"Drama,Movie/Mini-Series",NBC,12/02/2015,62,33,4.6,48
The Secret Life of Marilyn Monroe,1,"Drama,Movie/Mini-Series,Documentary",LIFETIME,30/05/2015,55,12,not available, 12 Critic Reviews
The Scheme,1,"Sports,Movie/Mini-Series,Documentary",HBO,31/03/2020,73,5,not available, 5 Critic Reviews
The Roosevelts: An Intimate History,1,"Movie/Mini-Series,News/Documentary,Documentary,Educational",PBS,14/09/2014,88,21,8,26
The Rocky Horror Picture Show: Let’s Do the Time Warp Again,1,"Movie/Mini-Series,Music",FOX,20/10/2016,55,23,2.6,34
The Red Tent,1,"Drama,Movie/Mini-Series",LIFETIME,07/12/2014,57,12,7,7
The Problem With Apu,1,"Movie/Mini-Series,Documentary",truTV,19/11/2017,77,4,3,27
The Preppy Murder: Death in Central Park,1,"Movie/Mini-Series,Documentary",AMC,13/11/2019,68,4,5.4,5
The Plot Against America,1,"Drama,Movie/Mini-Series",HBO,16/03/2020,81,31,7.5,31
The Pharmacist,1,"Movie/Mini-Series,Documentary",Netflix,05/02/2020,73,4,not available, 4 Critic Reviews
The Pale Horse,1,"Drama,Movie/Mini-Series",Prime Video,13/03/2020,69,6,4.1,8
The Normal Heart,1,"Drama,Movie/Mini-Series",HBO,25/05/2014,85,33,7.9,123
The Night Of,1,"Drama,Movie/Mini-Series",HBO,10/07/2016,90,40,8.8,515
The Night Manager,1,"Drama,Movie/Mini-Series,Suspense",BBC,19/04/2016,82,32,7.7,179
The Newspaperman: The Life and Times of Ben Bradlee,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,04/12/2017,80,7,3.5,14
Wedding Wars,1,"Comedy,Movie/Mini-Series",A&E,11/12/2006,51,7,7.3,4
Watership Down (2018),1,"Animation,Drama,Movie/Mini-Series",Netflix,23/12/2018,76,5,4.9,27
Watergate,1,"Movie/Mini-Series,Documentary",The History Channel,02/11/2018,77,8,6.6,7
War & Peace,1,"Drama,Movie/Mini-Series",LIFETIME,18/01/2016,72,11,7.8,62
Waco,1,"Drama,Movie/Mini-Series",Paramount Network,24/01/2018,56,15,6,46
Vietnam in HD,1,"Movie/Mini-Series,News/Documentary",The History Channel,08/11/2011,79,8,8.7,6
Vanity Fair (2018),1,"Comedy,Drama,Movie/Mini-Series",Prime Video,21/12/2018,66,7,5.2,9
Vampire Bats,1,"Drama,Movie/Mini-Series",CBS,30/10/2005,39,7,3.4,5
Valley of the Boom,1,"Drama,Movie/Mini-Series",National Geographic,13/01/2019,58,11,not available, 11 Critic Reviews
Valentine Road,1,"Movie/Mini-Series,Documentary",HBO,07/10/2013,79,5,not available, 5 Critic Reviews
Unbelievable,1,"Drama,Movie/Mini-Series",Netflix,13/09/2019,83,25,7.4,70
TWA Flight 800,1,"Movie/Mini-Series,News/Documentary,Documentary",Epix,17/07/2013,75,5,6.2,6
Tut,1,"Drama,Movie/Mini-Series,Educational",Spike TV,19/07/2015,46,15,6.1,23
Treasure Island,1,"Drama,Movie/Mini-Series,Action & Adventure",SyFy,05/05/2012,58,7,4.6,5
Traffic,1,"Drama,Movie/Mini-Series",USA,26/01/2004,74,22,not available, 22 Critic Reviews
Toy Story of Terror,1,"Animation,Movie/Mini-Series,Kids",ABC,16/10/2013,79,7,8.1,62
Tour de Pharmacy,1,"Comedy,Sports,Movie/Mini-Series",HBO,08/07/2017,71,13,7.3,32
Top Of The Lake,2,"Drama,Movie/Mini-Series",Sundance Channel,27/07/2017,73,21,6.3,35
Top Of The Lake,1,"Drama,Movie/Mini-Series",Sundance Channel,24/03/2013,87,27,7,186
Too Funny To Fail,1,"Comedy,Movie/Mini-Series,News/Documentary,Documentary",HULU,21/10/2017,78,5,7.8,8
TIME: The Kalief Browder Story,1,"Movie/Mini-Series,News/Documentary,Documentary",Spike TV,01/03/2017,88,4,6.8,10
"Tiger King: Murder, Mayhem and Madness",1,"Movie/Mini-Series,Documentary",Netflix,20/03/2020,75,13,7.4,35
Time Traveling Bong,1,"Comedy,Movie/Mini-Series",Comedy Central,20/04/2016,63,7,5.4,27
Thorne,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",Sky One,10/10/2010,73,7,not available, 7 Critic Reviews
There's Something Wrong With Aunt Diane,1,"Movie/Mini-Series,Reality,News/Documentary",HBO,25/07/2011,67,5,not available, 5 Critic Reviews
The Zen Diaries of Garry Shandling,1,"Comedy,Movie/Mini-Series,News/Documentary,Documentary",HBO,26/03/2018,90,9,6.9,26
The Young Pope,1,"Drama,Movie/Mini-Series,Suspense",ABC,15/01/2017,68,38,7.4,163
The World Wars,1,"Movie/Mini-Series,Documentary,Educational",The History Channel,26/05/2014,62,7,4.1,24
The Woman in White,1,"Drama,Movie/Mini-Series,Suspense",PBS,21/10/2018,80,5,7.2,10
Years and Years,1,"Drama,Movie/Mini-Series",HBO,24/06/2019,78,24,7.4,38
Wu-Tang Clan: Of Mics and Men,1,"Movie/Mini-Series,Documentary,Music",SHOWTIME,10/05/2019,85,8,5.7,15
Whoopi Goldberg Presents Moms Mabley,1,"Comedy,Movie/Mini-Series,Documentary",HBO,18/11/2013,83,10,7,8
Who Killed JonBenét?,1,"Drama,Movie/Mini-Series",LIFETIME,05/11/2016,29,4,not available, 4 Critic Reviews
Who Killed Garrett Phillips?,1,"Movie/Mini-Series,Documentary",HBO,23/07/2019,84,5,5.3,7
Whitney (2015),1,"Drama,Movie/Mini-Series,Music",LIFETIME,17/01/2015,54,17,2.7,11
White People,1,"Movie/Mini-Series,News/Documentary,Documentary,Educational",MTV,22/07/2015,61,9,2.6,25
When We Rise,1,"Drama,Movie/Mini-Series",ABC,27/02/2017,67,24,6.3,49
When They See Us,1,"Drama,Movie/Mini-Series",Netflix,31/05/2019,86,27,7.4,103
Conversations With a Killer: The Ted Bundy Tapes,1,"Movie/Mini-Series,News/Documentary,Documentary",Netflix,24/01/2019,52,8,6.3,25
Confirmation,1,"Drama,Movie/Mini-Series",HBO,16/04/2016,72,25,6.4,34
Compared to What: The Improbable Journey of Barney Frank,1,"Movie/Mini-Series,News/Documentary,Documentary",SHOWTIME,23/10/2015,55,4,not available, 4 Critic Reviews
Coma,1,"Drama,Movie/Mini-Series,Action & Adventure",A&E,03/09/2012,56,16,5.4,7
Collateral (2018),1,"Drama,Movie/Mini-Series",Netflix,09/03/2018,74,6,7.1,32
Coco Chanel,1,"Drama,Movie/Mini-Series",LIFETIME,13/09/2008,54,11,7.8,9
Clear History,1,"Comedy,Movie/Mini-Series",HBO,10/08/2013,69,17,6.7,23
Cinema Verite,1,"Drama,Movie/Mini-Series",HBO,23/04/2011,74,23,7,10
Churchill's Secret,1,"Drama,Movie/Mini-Series",PBS,11/09/2016,72,5,not available, 5 Critic Reviews
Chernobyl,1,"Drama,Movie/Mini-Series",HBO,06/05/2019,82,27,9.3,341
Catherine The Great,1,"Drama,Movie/Mini-Series",HBO,21/10/2019,61,18,5.5,14
Catch-22 (2019),1,"Comedy,Drama,Movie/Mini-Series,Action & Adventure",HULU,17/05/2019,70,34,6.5,33
Call Me Crazy: A Five Film,1,"Drama,Movie/Mini-Series",LIFETIME,20/04/2013,64,5,8,4
Burton and Taylor,1,"Drama,Movie/Mini-Series",BBC America,16/10/2013,81,17,7.3,15
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,1,"Movie/Mini-Series,Documentary",HBO,07/01/2017,85,25,6.3,22
Brexit,1,"Drama,Movie/Mini-Series",HBO,19/01/2019,73,12,6.8,21
Breslin and Hamill: Deadline Artists,1,"Movie/Mini-Series,Documentary",HBO,28/01/2019,82,5,0.8,4
Bonnie & Clyde,1,"Drama,Movie/Mini-Series",LIFETIME,08/12/2013,54,23,5.3,17
Bobby Kennedy for President,1,"Movie/Mini-Series,News/Documentary,Documentary",Netflix,27/04/2018,72,7,5.7,7
Black Earth Rising,1,"Drama,Movie/Mini-Series,Suspense",Netflix,25/01/2019,59,9,6.1,14
Big Driver,1,"Drama,Movie/Mini-Series,Suspense",LIFETIME,18/10/2014,56,6,3.3,7
Beyonce: Life Is But a Dream,1,"Movie/Mini-Series,Documentary",HBO,16/02/2013,57,14,6.9,55
